consumer,origin,input,input_group,product,input_category,cropland_m2,blue_water_m3,ghg_kg,biodiv,n_application_kg,p_application_kg
EU-27,EUR,Rye and products,Cereals,Wearing apparel; furs (18),other crops,0.0150565913766674,5.93792990633593e-05,3.26748770079864e-06,4.60547415812018e-15,3.11005507495659e-05,2.53221748542756e-06
EU-27,EUR,Millet and products,Cereals,Wearing apparel; furs (18),other crops,0.00410732062217739,0,3.11479653251931e-07,8.95041015450476e-16,1.12469575248103e-06,8.0355642055891e-08
EU-27,EUR,"Cereals, Other",Cereals,Wearing apparel; furs (18),other crops,0.00429641781701459,9.19918605012112e-06,1.45757093645329e-06,3.5811268257453e-15,1.68384669589963e-05,1.28246106048318e-06
EU-27,EUR,Sugar beet,Sugar crops,Wearing apparel; furs (18),other crops,0.0023516568223865,0.000272445996300446,5.48883280852398e-07,1.37024070596034e-15,1.93629779267859e-05,3.808308845994e-06
EU-27,EUR,Peas,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,0.00041032407814135,3.3215136301631e-07,8.06857834755308e-08,6.07326316488432e-17,3.56185161998468e-07,1.19112024246965e-07
EU-27,EUR,Rape and Mustardseed,Oil crops,Wearing apparel; furs (18),other crops,0.144010928143209,0,1.56923018919354e-05,9.88961186326221e-14,0.000322296644234799,9.05741768676286e-05
EU-27,EUR,"Oilcrops, Other",Oil crops,Wearing apparel; furs (18),other crops,0.0233209551863226,0.000526114880415495,7.46456927739715e-06,2.62897305213096e-14,1.94348091838887e-06,1.57564482806539e-08
EU-27,EUR,Grapes and products (excl wine),"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,0.00351432915628689,2.96583611747968e-05,1.7892156303203e-07,3.18279795279562e-16,5.69866984095842e-06,1.93810758873601e-07
EU-27,EUR,"Soft-Fibres, Other",Fibre crops,Wearing apparel; furs (18),fibre crops,0.137946087602446,7.54348588092928e-05,7.96075690629135e-05,7.7888141662583e-15,0,0
EU-27,EUR,Sugar (Raw Equivalent),"Sugar, sweeteners",Wearing apparel; furs (18),other crops,0,0,1.44009407661634e-06,0,0,0
EU-27,EUR,"Sweeteners, Other","Sugar, sweeteners",Wearing apparel; furs (18),other crops,0,0,1.01457478866877e-05,0,0,0
EU-27,EUR,Soyabean Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,4.17134056604407e-07,0,0,0
EU-27,EUR,Rape and Mustard Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,4.58117025613178e-06,0,0,0
EU-27,EUR,Rape and Mustard Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,1.73613525781198e-08,0,0,0
EU-27,EUR,"Oilseed Cakes, Other",Oil cakes,Wearing apparel; furs (18),other crops,0,0,2.51874084604586e-08,0,0,0
EU-27,EUR,Wine,Alcohol,Wearing apparel; furs (18),other crops,0,0,2.57237393346271e-09,0,0,0
EU-27,EUR,"Beverages, Alcoholic",Alcohol,Wearing apparel; furs (18),other crops,0,0,7.80305545670016e-09,0,0,0
EU-27,EUR,"Alcohol, Non-Food",Ethanol,Wearing apparel; furs (18),other crops,0,0,3.918142322028e-06,0,0,0
EU-27,EUR,Pigs,Live animals,Wearing apparel; furs (18),animal-based,0,5.5964866797019e-11,3.23587403059868e-12,0,0,0
EU-27,EUR,Horses,Live animals,Wearing apparel; furs (18),animal-based,0,3.18434947662343e-05,4.40615201442482e-06,0,0,0
EU-27,EUR,Rabbits and hares,Live animals,Wearing apparel; furs (18),animal-based,0,4.87101643602364e-06,0,0,0,0
EU-27,EUR,"Butter, Ghee",Milk,Wearing apparel; furs (18),animal-based,0,0,1.29867054171471e-10,0,0,0
EU-27,EUR,Pigmeat,Meat,Wearing apparel; furs (18),animal-based,0,1.35830405078634e-25,0,0,0,0
EU-27,EUR,"Meat, Other",Meat,Wearing apparel; furs (18),animal-based,0,4.42633072581147e-21,0,0,0,0
EU-27,EUR,"Fats, Animals, Raw",Animal fats,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,AFR,Sugar beet,Sugar crops,Wearing apparel; furs (18),other crops,0.00053790160208033,0.000858236905465144,3.24648455569168e-08,7.07570155234559e-17,2.84012150656683e-06,5.9121191475279e-07
EU-27,AFR,Olives (including preserved),Oil crops,Wearing apparel; furs (18),other crops,0.0995285993449652,0.0122505952300197,4.36674676002533e-06,4.24630185656473e-14,0.000117300045117789,4.40232701284013e-05
EU-27,AFR,Tomatoes and products,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,3.87154109761163e-08,1.86648662386924e-08,1.76621033935902e-11,2.52639149109751e-20,2.98953571356818e-10,9.94599129994741e-11
EU-27,AFR,Onions,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,3.29376151918636e-09,6.85028164602272e-10,6.95342531519608e-13,2.79011418671536e-21,4.60226582749941e-12,8.69759317124618e-13
EU-27,AFR,"Oranges, Mandarines","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,4.86341761644173e-05,1.95600246897115e-05,7.71559254632374e-09,1.68250773351056e-17,3.31154888462614e-07,7.68288479947486e-08
EU-27,AFR,Apples and products,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,0.000274627343009628,0.000223759977073343,3.07952643844902e-08,1.88120481866615e-15,3.61311320563625e-06,3.60761431291833e-07
EU-27,AFR,Grapes and products (excl wine),"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,0.001324795670193,0.000354452765509343,1.05971887881668e-07,8.90815566196529e-15,7.93357330558342e-06,2.01015473989775e-06
EU-27,AFR,"Soft-Fibres, Other",Fibre crops,Wearing apparel; furs (18),fibre crops,0.0108558949263464,0.0102047459319538,7.17364653231079e-07,2.62661960188277e-16,0,0
EU-27,AFR,Olive Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,9.22383864071257e-07,0,0,0
EU-27,AFR,"Oilseed Cakes, Other",Oil cakes,Wearing apparel; furs (18),other crops,0,0,3.29151117920698e-09,0,0,0
EU-27,AFR,"Alcohol, Non-Food",Ethanol,Wearing apparel; furs (18),other crops,0,0,1.63253790511374e-07,0,0,0
EU-27,AFR,Buffaloes,Live animals,Wearing apparel; furs (18),animal-based,0,2.71692171538913e-05,3.24072962903627e-06,0,0,0
EU-27,AFR,Camels,Live animals,Wearing apparel; furs (18),animal-based,0,1.41817011081034e-05,1.14329698099178e-05,0,0,0
EU-27,AFR,"Butter, Ghee",Milk,Wearing apparel; furs (18),animal-based,0,0,2.76442197513676e-08,0,0,0
EU-27,AFR,Silk,"Hides, skins, wool",Wearing apparel; furs (18),animal-based,0,0,2.73691670208382e-09,0,0,0
EU-27,OCE,Cassava and products,Roots and tubers,Wearing apparel; furs (18),other crops,2.82004509642087e-05,0,2.92353701670892e-08,2.56486397828045e-15,3.85628722512827e-09,0
EU-27,OCE,"Roots, Other",Roots and tubers,Wearing apparel; furs (18),other crops,2.30368357293048e-05,5.53118414266233e-08,1.07707929278837e-08,2.11990310747771e-15,3.60594810129077e-08,0
EU-27,EU,Coconuts - Incl Copra,Oil crops,Wearing apparel; furs (18),other crops,4.04310193971662e-07,0,6.35350512085502e-11,4.36667340950312e-19,0,0
EU-27,EU,Olives (including preserved),Oil crops,Wearing apparel; furs (18),other crops,0.115454729597908,0.0128538937004727,1.44284410556597e-05,1.0149020979015e-12,0.000837313340068146,0.00010587990720164
EU-27,EU,Palmkernel Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,0,0,0,0
EU-27,EU,Coconut Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,2.54140146486178e-09,0,0,0
EU-27,EU,Sesameseed Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,9.43115469235437e-09,0,0,0
EU-27,EU,Olive Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,2.24450515340512e-06,0,0,0
EU-27,EU,Palmkernel Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,7.46649561109603e-12,0,0,0
EU-27,EU,Copra Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,2.6251033523522e-12,0,0,0
EU-27,AFR,Plantains,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,6.14858739308651e-05,0,3.33136895488349e-10,8.19533015233718e-17,1.1786788467114e-08,7.35762218576394e-10
EU-27,AFR,"Hard Fibres, Other",Fibre crops,Wearing apparel; furs (18),fibre crops,0.990108484470739,0.00851362521439782,0.001548131976268,9.71733983577346e-13,0,0
EU-27,EU,Sesame seed,Oil crops,Wearing apparel; furs (18),other crops,3.51479142968823e-07,7.2106565088898e-08,8.32644289415411e-11,1.84864208835309e-18,3.42653480193977e-09,6.6582802797578e-10
EU-27,EU,Cottonseed Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,3.69207668444042e-07,0,0,0
EU-27,EU,Cottonseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,1.55071212880335e-09,0,0,0
EU-27,AFR,Groundnut Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,7.57656568580576e-08,0,0,0
EU-27,EU,Asses,Live animals,Wearing apparel; furs (18),animal-based,0,1.53466209409501e-06,6.99865492698459e-08,0,0,0
EU-27,ASI,Sugar non-centrifugal,"Sugar, sweeteners",Wearing apparel; furs (18),other crops,0,0,2.36037801993679e-09,0,0,0
EU-27,ASI,"Butter, Ghee",Milk,Wearing apparel; furs (18),animal-based,0,0,3.28686435881586e-08,0,0,0
EU-27,ASI,Cloves,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,0.00512610891077754,0,1.15638099312065e-05,3.13472324722759e-14,0,0
EU-27,ASI,Abaca,Fibre crops,Wearing apparel; furs (18),fibre crops,0.0651698064971099,0,7.67062924032174e-07,1.57736735676835e-12,0,0
EU-27,ASI,Dates,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,7.96051074617314e-05,3.40463399493848e-05,6.74539687242037e-09,8.34474197684345e-18,1.8867632567578e-06,2.98297068988063e-07
EU-27,EU,Sweet potatoes,Roots and tubers,Wearing apparel; furs (18),other crops,2.25173498387239e-06,1.00850886002563e-06,7.95227985841754e-10,2.62261473726416e-17,1.46385117052443e-08,9.46376847168591e-09
EU-27,AFR,Coconut Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,2.04062522642412e-08,0,0,0
EU-27,ASI,Yams,Roots and tubers,Wearing apparel; furs (18),other crops,3.76001126560994e-07,8.5205580678434e-10,1.63153899688508e-10,2.43665465538429e-18,9.35993497455041e-09,6.70635451842502e-09
EU-27,AFR,"Beverages, Alcoholic",Alcohol,Wearing apparel; furs (18),other crops,0,0,1.83886307244136e-09,0,0,0
EU-27,EU,Camels,Live animals,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,AFR,Asses,Live animals,Wearing apparel; furs (18),animal-based,0,3.67356966450546e-06,3.37496511677908e-07,0,0,0
EU-27,AFR,Maize Germ Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,3.72824973514687e-09,0,0,0
EU-27,AFR,Cloves,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,5.15090321822636e-05,4.39098977556706e-07,9.53752857740069e-08,3.35210581756481e-16,0,0
EU-27,LAM,Dates,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,6.75367638132298e-10,0,3.23950272860771e-13,3.40421016566735e-21,1.5434627402349e-11,2.49371204543548e-12
EU-27,LAM,Sesameseed Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,3.28375583443287e-09,0,0,0
EU-27,AFR,Wine,Alcohol,Wearing apparel; furs (18),other crops,0,0,2.89298785117782e-08,0,0,0
EU-27,EUR,Sorghum and products,Cereals,Wearing apparel; furs (18),other crops,0.000307530279194884,0,1.41568986752689e-08,5.52274694619928e-17,9.0766994849666e-08,6.91110537352789e-09
EU-27,EUR,Nuts and products,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,0.000563075501578201,4.22881064746489e-05,1.52572904411564e-08,1.19441091755215e-15,3.81283440432704e-08,5.24158188021002e-07
EU-27,OCE,Yams,Roots and tubers,Wearing apparel; furs (18),other crops,4.96201455818035e-08,0,1.43370556326295e-12,9.02334250010697e-19,1.70143197003521e-12,7.08356463205774e-15
EU-27,EUR,Rice and products,Cereals,Wearing apparel; furs (18),other crops,0.000700913145364312,0.000339231837836489,1.15929686157123e-06,1.39701929680775e-15,4.12212715037242e-06,6.65718134072967e-07
EU-27,EUR,Sesame seed,Oil crops,Wearing apparel; furs (18),other crops,0.000108358232469272,1.47143166690513e-05,1.31930272834493e-08,2.34797714143741e-16,6.35194607542243e-07,1.52911687010866e-07
EU-27,EUR,Onions,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,6.65284426968531e-09,5.53033894061154e-10,1.27319741642347e-12,3.62893553987306e-21,5.55208213470118e-11,1.49822957774615e-11
EU-27,EUR,"Spices, Other","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,1.31532396846138e-05,9.98699731290159e-06,1.10943225175055e-09,2.84804216936851e-17,0,0
EU-27,EUR,Sesameseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,5.20561051773642e-09,0,0,0
EU-27,OCE,"Hard Fibres, Other",Fibre crops,Wearing apparel; furs (18),fibre crops,0.00382150370700812,0.000183266940586993,8.2913118001627e-06,3.32853010822717e-14,0,0
EU-27,OCE,Maize Germ Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,2.11956314807472e-10,0,0,0
EU-27,AFR,Sesameseed Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,3.88415988303478e-08,0,0,0
EU-27,EUR,Camels,Live animals,Wearing apparel; furs (18),animal-based,0,0,0,0,0,0
EU-27,OCE,Bananas,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,3.63357665655502e-08,0,7.22150387664399e-11,5.49649016830056e-18,1.53881304997308e-10,2.14810878178729e-11
