consumer,origin,input,input_group,product,input_category,cropland_km2,blue_water_km3,ghg_Gt,biodiv,n_application_Tg,p_application_Tg
EU-27,EUR,Tobacco,"Tobacco, rubber",Textiles (17),other crops,1.36076394517895e-07,9.07555911688433e-06,4.09170165120342e-08,2.76669638571054e-07,2.62453852367345e-07,7.21076307725909e-08
EU-27,EUR,Fodder crops,Fodder crops,Textiles (17),other crops,1.13037590115005e-05,2.12529950915292e-05,2.26822341005012e-06,2.16933898437522e-05,3.09342461061608e-05,5.15201841355331e-06
EU-27,EUR,Grazing,Grazing,Textiles (17),other crops,0,0,1.23234915967135e-06,0.000448005554270944,0.000159825549532556,1.53411200788525e-05
EU-27,EUR,Cottonseed,Fibre crops,Textiles (17),fibre crops,0,0,1.88741040736744e-06,0,0,0
EU-27,EUR,Sunflowerseed Oil,Vegetable oils,Textiles (17),other crops,0,0,1.13786337194979e-06,0,0,0
EU-27,EUR,Olive Oil,Vegetable oils,Textiles (17),other crops,0,0,4.69246978536738e-08,0,0,0
EU-27,EUR,"Oilcrops Oil, Other",Vegetable oils,Textiles (17),other crops,0,0,3.84481447632025e-07,0,0,0
EU-27,EUR,Soyabean Cake,Oil cakes,Textiles (17),other crops,0,0,1.71368592131034e-08,0,0,0
EU-27,EUR,Groundnut Cake,Oil cakes,Textiles (17),other crops,0,0,8.38086444112678e-13,0,0,0
EU-27,EUR,Sunflowerseed Cake,Oil cakes,Textiles (17),other crops,0,0,2.05260426468402e-08,0,0,0
EU-27,EUR,Cottonseed Cake,Oil cakes,Textiles (17),other crops,0,0,4.45803417649942e-09,0,0,0
EU-27,EUR,Cotton lint,Fibre crops,Textiles (17),fibre crops,0,0,0.000249215371585089,0,0,0
EU-27,EUR,Cattle,Live animals,Textiles (17),animal-based,0,0.000166203281194628,7.70785744059487e-06,0,0,0
EU-27,EUR,Sheep,Live animals,Textiles (17),animal-based,0,0.00169506797363777,0.000213631824811676,0,0,0
EU-27,EUR,Goats,Live animals,Textiles (17),animal-based,0,7.07878635892589e-06,1.0927566553271e-06,0,0,0
EU-27,EUR,Poultry Birds,Live animals,Textiles (17),animal-based,0,1.33270773083912e-06,9.5435775686731e-08,0,0,0
EU-27,EUR,Milk - Excluding Butter,Milk,Textiles (17),animal-based,0,0,4.56756219395349e-07,0,0,0
EU-27,EUR,Eggs,Eggs,Textiles (17),animal-based,0,0,0,0,0,0
